iter	Accuracy	Logloss
105	0.7085	0.4967861004
106	0.70925	0.4957735961
107	0.709625	0.4952326078
108	0.71075	0.4945402755
109	0.711625	0.4936835191
110	0.712375	0.4930987967
111	0.71275	0.4919242324
112	0.713875	0.4904672209
113	0.715125	0.4896883725
114	0.714875	0.4890954435
115	0.716	0.4884458544
116	0.716625	0.487071686
117	0.71775	0.48577919
118	0.719125	0.4846678501
119	0.71975	0.4838315933
120	0.720875	0.4827008437
121	0.721625	0.4817718649
122	0.72325	0.4807974348
123	0.72375	0.4801716056
124	0.724125	0.479084584
125	0.724875	0.4784223012
126	0.72525	0.4774516028
127	0.72625	0.4765036455
128	0.727	0.4756509598
129	0.7275	0.4746003492
130	0.72825	0.473808756
131	0.728875	0.4730722682
132	0.730125	0.4723749628
133	0.730625	0.4713897938
134	0.730875	0.4705314143
135	0.73175	0.4700871818
136	0.732625	0.4691101715
137	0.73425	0.4682584761
138	0.73475	0.4672691224
139	0.735875	0.4662819359
140	0.73675	0.4654330404
141	0.737	0.4646588471
142	0.73825	0.4634859465
143	0.738375	0.4628986212
144	0.73975	0.4621572264
145	0.7405	0.4615174369
146	0.7415	0.4609063118
147	0.74225	0.45975677
148	0.743375	0.4586851719
149	0.743	0.4582441455
150	0.744375	0.4574495197
151	0.745375	0.456295018
152	0.746625	0.4552715729
153	0.748	0.4542845336
154	0.749375	0.4528839631
155	0.75075	0.4521901443
156	0.75075	0.451687238
157	0.752625	0.4508744785
158	0.753	0.4501299218
159	0.753625	0.4494076111
160	0.754625	0.4486803214
161	0.754125	0.447938198
162	0.757	0.4470546953
163	0.757625	0.4459235233
164	0.75775	0.4454257635
165	0.758375	0.4449465907
166	0.76	0.4439993467
167	0.761125	0.4433230254
168	0.762125	0.4428833418
169	0.76225	0.4418948785
170	0.764625	0.4411260288
171	0.76625	0.4404858711
172	0.766625	0.4396454144
173	0.7675	0.4389567392
174	0.768625	0.4376690306
175	0.769875	0.4366357515
176	0.7715	0.4356817253
177	0.772375	0.4351418621
178	0.773	0.4342340951
179	0.774	0.4336008628
180	0.77425	0.4332504145
181	0.775625	0.432263995
182	0.776625	0.4315010484
183	0.77825	0.4305970835
184	0.778625	0.4297465001
185	0.7805	0.4284995064
186	0.780875	0.4281542939
187	0.782	0.4274684513
188	0.78275	0.426459405
189	0.78425	0.4254418719
190	0.786125	0.4245462618
191	0.786375	0.4238528588
192	0.787375	0.4232305399
193	0.789125	0.4226097206
194	0.79025	0.4221084812
195	0.789625	0.4215971916
196	0.7905	0.4209448311
197	0.79075	0.4202176744
198	0.79225	0.4195348939
199	0.79475	0.4185594328
200	0.796125	0.4182774637
201	0.796625	0.4174450392
202	0.797375	0.4168312052
203	0.800375	0.415897252
204	0.801875	0.4149882418
205	0.80225	0.4143187809
206	0.80275	0.4136043798
207	0.8035	0.4130905481
208	0.804875	0.4125746802
209	0.805625	0.4116555104
210	0.806875	0.4111222635
211	0.806625	0.4104757804
212	0.80825	0.4095803532
213	0.80925	0.4088454376
214	0.811125	0.4079069657
215	0.81125	0.4069042592
216	0.812875	0.4062061797
217	0.814125	0.4056384275
218	0.815875	0.4049730218
219	0.81625	0.4043794377
220	0.8175	0.4033194901
221	0.819	0.4027561476
222	0.82	0.4019995585
223	0.82075	0.4009470215
224	0.82175	0.4002666622
225	0.822	0.3996938838
226	0.8235	0.3991073651
227	0.824625	0.3983990347
