iter	Passed	Remaining
406	5486	2601
407	5498	2587
408	5511	2573
409	5525	2560
410	5538	2547
411	5551	2533
412	5564	2519
413	5577	2505
414	5590	2492
415	5603	2478
416	5617	2465
417	5630	2451
418	5645	2438
419	5658	2425
420	5672	2411
421	5685	2398
422	5698	2384
423	5712	2371
424	5726	2357
425	5737	2343
426	5747	2328
427	5757	2313
428	5768	2299
429	5779	2284
430	5790	2270
431	5801	2256
432	5812	2241
433	5822	2227
434	5833	2212
435	5845	2198
436	5856	2184
437	5867	2170
438	5879	2156
439	5890	2142
440	5902	2128
441	5980	2137
442	6041	2140
443	6057	2128
444	6073	2115
445	6090	2102
446	6106	2090
447	6122	2077
448	6134	2063
449	6145	2048
450	6156	2034
451	6167	2019
452	6180	2005
453	6199	1993
454	6215	1980
455	6228	1966
456	6240	1952
457	6255	1939
458	6272	1926
459	6290	1914
460	6302	1900
461	6314	1886
462	6326	1872
463	6414	1880
464	6426	1865
465	6438	1851
466	6449	1836
467	6462	1822
468	6474	1808
469	6486	1794
470	6498	1779
471	6510	1765
472	6522	1751
473	6535	1737
474	6548	1723
475	6560	1709
476	6572	1694
477	6594	1683
478	6605	1668
479	6617	1654
480	6630	1640
481	6642	1626
482	6655	1612
483	6667	1597
484	6679	1583
485	6691	1569
486	6704	1555
487	6718	1541
488	6731	1527
489	6743	1513
490	6757	1500
491	6771	1486
492	6783	1472
493	6795	1458
494	6807	1444
495	6818	1429
496	6828	1415
497	6839	1400
498	6850	1386
499	6862	1372
500	6873	1358
501	6884	1343
502	6895	1329
503	6905	1315
504	6925	1302
505	6936	1288
506	6946	1274
507	6957	1260
508	6969	1245
509	6980	1231
510	6992	1217
511	7004	1203
512	7015	1189
513	7026	1175
514	7037	1161
515	7048	1147
516	7059	1133
517	7071	1119
518	7082	1105
519	7094	1091
520	7106	1077
521	7119	1063
522	7133	1050
523	7146	1036
524	7159	1022
525	7171	1008
526	7184	995
527	7197	981
528	7210	967
529	7223	953
530	7235	940
531	7247	926
532	7267	913
533	7280	899
534	7292	885
535	7303	872
536	7317	858
537	7335	845
538	7359	832
539	7391	821
540	7415	808
541	7437	795
542	7457	782
543	7476	769
544	7493	756
545	7509	742
546	7524	729
547	7539	715
548	7554	701
549	7569	688
550	7582	674
551	7597	660
552	7613	647
553	7626	633
554	7640	619
555	7655	605
556	7671	592
557	7686	578
558	7699	564
559	7713	550
560	7726	537
561	7742	523
562	7756	509
563	7867	502
564	7882	488
565	7892	474
566	7904	460
567	7914	445
568	7925	431
569	7937	417
570	7949	403
571	7960	389
572	7971	375
573	7982	361
574	7994	347
575	8006	333
576	8018	319
577	8032	305
578	8045	291
579	8057	277
580	8070	263
581	8083	249
582	8095	236
583	8108	222
584	8121	208
585	8135	194
586	8147	180
587	8159	166
588	8171	152
589	8183	138
590	8198	124
591	8211	110
592	8223	97
593	8235	83
594	8247	69
595	8260	55
596	8272	41
597	8285	27
598	8297	13
599	8311	0
