iter	Logloss
0	0.6930840995
1	0.6930075082
2	0.6929324951
3	0.6928589078
4	0.6928007868
5	0.69272856
6	0.6926517211
7	0.6925690646
8	0.6925128102
9	0.6924337618
10	0.6923913493
11	0.692340692
12	0.6922635048
13	0.6921905896
14	0.6921099739
15	0.6920388328
16	0.691951303
17	0.691887778
18	0.6918279128
19	0.6917394416
20	0.6916686052
21	0.6915944438
22	0.6915250904
23	0.6914597968
24	0.6913705255
25	0.6912884432
26	0.691219166
27	0.6911686747
28	0.6911008369
29	0.6910356331
30	0.6909593601
31	0.6908888449
32	0.6908397767
33	0.6907437627
34	0.6906883981
35	0.6906253548
36	0.6905528124
37	0.6905053333
38	0.6904453756
39	0.6903624497
40	0.6902986989
41	0.6902491899
42	0.6902128779
43	0.6901529964
44	0.6900814553
45	0.690018412
46	0.6899548081
47	0.6898875635
48	0.6898184876
49	0.6897847443
50	0.6896855821
51	0.6896114751
52	0.6895545894
53	0.6894816062
54	0.6893991456
55	0.6893477972
56	0.6892833526
57	0.6892270655
58	0.6891631596
59	0.6890970007
60	0.6890469557
61	0.6889902632
62	0.6889261831
63	0.688862299
64	0.6888073752
65	0.6887499236
66	0.6886926923
67	0.6886268572
68	0.6885598439
69	0.6884782377
70	0.6884304076
71	0.6883539633
72	0.6882930314
73	0.688225142
74	0.6881581667
75	0.6881161841
76	0.6880370078
77	0.6879566969
78	0.6878902332
79	0.6878455486
80	0.6877639044
81	0.6876980638
82	0.6876308628
83	0.6875618958
84	0.6874883574
85	0.6874270311
86	0.6873518873
87	0.6872778728
88	0.6872082827
89	0.6871230821
90	0.6870712521
91	0.6869804353
92	0.68692457
93	0.6868505446
94	0.6868152666
95	0.6867653467
96	0.68670774
97	0.6866234319
98	0.6865644156
99	0.6864997696
100	0.6864490198
101	0.6863731877
102	0.6863356811
103	0.6862736908
104	0.686221771
105	0.6861732715
106	0.686073859
107	0.6860184781
108	0.685961587
109	0.6858966716
110	0.6858516904
111	0.6858149675
112	0.685752354
113	0.6857053538
114	0.6856460329
115	0.6855772781
116	0.6855087927
117	0.6854485901
118	0.6853787333
119	0.6853381411
120	0.6852596914
121	0.6852070995
122	0.6851468534
123	0.6850841229
124	0.6850375799
125	0.6849748277
126	0.6849138958
127	0.6848735921
128	0.6847949137
129	0.6847309561
130	0.6846703726
131	0.6846241234
132	0.684543388
133	0.6844880533
134	0.6844081342
135	0.6843568511
136	0.6843100686
137	0.6842449736
138	0.6841777263
139	0.684105611
140	0.6840401868
141	0.683974749
142	0.6839133328
143	0.6838605858
144	0.6838042498
145	0.6837549639
146	0.6837075202
147	0.6836394375
148	0.6835833763
149	0.683514978
150	0.6834525197
151	0.6834061181
152	0.6833454312
153	0.683294178
154	0.6832212574
155	0.6831621595
156	0.6831046671
157	0.6830574002
158	0.682968197
159	0.6829322876
160	0.6828696062
161	0.6828184646
162	0.682758877
163	0.6826978444
164	0.6826429097
165	0.6825853846
166	0.6825221998
167	0.6824590776
168	0.682405253
169	0.6823521169
170	0.6822580458
171	0.6822011737
172	0.6821458962
173	0.6821076577
174	0.6820515883
175	0.681994055
176	0.6819583824
177	0.6818963649
178	0.6818525021
179	0.6818008761
180	0.6817423878
181	0.6816774696
182	0.6816362897
183	0.6815708383
184	0.6815130002
185	0.681459192
186	0.6814023662
187	0.6813362209
188	0.6812789108
189	0.6812091111
190	0.6811391183
191	0.6810932337
192	0.6810697949
193	0.6810149554
194	0.6809664804
195	0.6809209169
196	0.6808729181
197	0.6808321218
198	0.6807388806
199	0.6806683136
200	0.6806309241
201	0.6805552878
202	0.6804981001
203	0.6804198245
204	0.68034898
205	0.6802867339
206	0.6802206022
207	0.6801830657
208	0.6801224632
209	0.6800707719
210	0.680011753
211	0.679940601
212	0.6798741047
213	0.6798090804
214	0.6797395039
215	0.6796690458
216	0.6796018039
217	0.6795303934
218	0.6794645257
219	0.6793976838
220	0.6793478809
221	0.6792714638
222	0.679193033
223	0.6791292958
224	0.6790761733
225	0.6790054567
226	0.6789277199
227	0.6788537244
228	0.6787981911
229	0.6787291751
230	0.6786505077
231	0.6785964981
232	0.6785351881
233	0.6784584798
234	0.6783964786
235	0.6783371059
236	0.6782506237
237	0.6781663264
238	0.6780801109
239	0.6779982408
240	0.6779185992
241	0.6778275865
242	0.6777596344
243	0.6776996441
244	0.67762148
245	0.677532723
246	0.6774643438
247	0.6773794343
248	0.677310655
249	0.6772430758
250	0.6771846663
251	0.6771269208
252	0.6770384278
253	0.6769511319
254	0.6768555778
255	0.676790989
256	0.676715818
257	0.67663185
258	0.6765615797
259	0.6764688527
260	0.6763851296
261	0.6763163884
262	0.6762188099
263	0.6761470783
264	0.676056452
265	0.6759783832
266	0.675892603
267	0.6758158212
268	0.6757248194
269	0.6756468213
270	0.6755674709
271	0.6755038561
272	0.675427926
273	0.6753424724
274	0.6752703925
275	0.6751830124
276	0.6751076782
277	0.675029778
278	0.6749218025
279	0.6748478016
280	0.6747653193
281	0.6746710468
282	0.674589876
283	0.6745034155
284	0.6743995405
285	0.6743449133
286	0.674249634
287	0.6741731815
288	0.6740546538
289	0.6739589065
290	0.6738718366
291	0.6737861924
292	0.6736871609
293	0.673569142
294	0.6734736314
295	0.6734114398
296	0.6733204107
297	0.6732156433
298	0.6731335854
299	0.6730541697
300	0.6729671541
301	0.6729076672
302	0.6728148205
303	0.6727580273
304	0.6726631671
305	0.6725634036
306	0.6724818355
307	0.6724108223
308	0.6723281903
309	0.6722492073
310	0.6721664093
311	0.6720847868
312	0.671988781
313	0.6719197324
314	0.671839533
315	0.671755497
316	0.6716575511
317	0.6715854468
318	0.6715035059
319	0.6714319948
320	0.6713560103
321	0.6712728096
322	0.6711897831
323	0.6710994724
324	0.6710060271
325	0.6709141817
326	0.6708443902
327	0.6707444988
328	0.6706488196
329	0.6705782308
330	0.6705095876
331	0.6704319868
332	0.6703394857
333	0.6702606713
334	0.6701770734
335	0.670091432
336	0.6700220677
337	0.6699390412
338	0.6698426245
339	0.6697839756
340	0.6696996131
341	0.6696287631
342	0.6695472277
343	0.6694671644
344	0.6693856372
345	0.6693135056
346	0.6692403809
347	0.6691553326
348	0.6690652478
349	0.6689816907
350	0.6688886834
351	0.6687937035
352	0.6687165462
353	0.6686431058
354	0.6685713389
355	0.6684792024
356	0.6683741193
357	0.6683032557
358	0.6682300875
359	0.6681543506
360	0.6680974948
361	0.6680228409
362	0.6679434578
363	0.6678589728
364	0.6677521102
365	0.6676981496
366	0.6676231991
367	0.6675354624
368	0.6674408008
369	0.6673696189
370	0.6673000533
371	0.6672244688
372	0.6671516434
373	0.6670670278
374	0.6669996281
375	0.6668992469
376	0.6668340376
377	0.6667658134
378	0.6667064598
379	0.6666244673
380	0.6665461644
381	0.6664699622
382	0.6664150575
383	0.6663302323
384	0.6662595892
385	0.6661619644
386	0.6660833378
387	0.6660080716
388	0.6659468459
389	0.665850968
390	0.6657887872
391	0.6657243099
392	0.6656494519
393	0.665587097
394	0.6655240618
395	0.6654376938
396	0.665350711
397	0.6652691919
398	0.6652093947
399	0.6651259655
400	0.6650318399
401	0.6649458856
402	0.6648703528
403	0.6647728994
404	0.6646831819
405	0.6646127618
406	0.6645421976
407	0.664465892
408	0.66438566
409	0.6642950962
410	0.6642055392
411	0.6641034683
412	0.6640254403
413	0.6639628051
414	0.6638778929
415	0.6637883822
416	0.6637239484
417	0.6636395614
418	0.6635512942
419	0.663484621
420	0.6633826153
421	0.6633224672
422	0.6632389182
423	0.6631829903
424	0.6631047202
425	0.6630417095
426	0.6629648433
427	0.6628919009
428	0.6628083411
429	0.6627603477
430	0.6626847686
431	0.6626117337
432	0.6625270718
433	0.6624388319
434	0.662356706
435	0.6622809745
436	0.6621992487
437	0.6621153133
438	0.6620561066
439	0.661971238
440	0.6618992234
441	0.6618185397
442	0.6617511835
443	0.6616787527
444	0.6616171542
445	0.6615362745
446	0.6614723333
447	0.661375503
448	0.6613133059
449	0.6612384969
450	0.6611575111
451	0.6610947725
452	0.6610285619
453	0.6609489176
454	0.6608742855
455	0.6608234622
456	0.6607461852
457	0.6606863472
458	0.6605998569
459	0.660530411
460	0.6604610576
461	0.6603864961
462	0.6603123918
463	0.660242233
464	0.6601694947
465	0.6601131886
466	0.660035196
467	0.6599552823
468	0.659867611
469	0.6598047391
470	0.6597376224
471	0.6596739151
472	0.6596041835
473	0.6595313145
474	0.6594560783
475	0.6593841019
476	0.6593055188
477	0.6592121551
478	0.6591423935
479	0.6590763326
480	0.6589720685
481	0.6588822585
482	0.6587853466
483	0.6587249481
484	0.6586564654
485	0.6585894004
486	0.6585059385
487	0.6584406394
488	0.6583636944
489	0.6582869017
490	0.6582192599
491	0.6581603797
492	0.6580804987
493	0.6579990476
494	0.6579407933
495	0.657874248
496	0.657793986
497	0.6577184151
498	0.6576450945
499	0.6575820049
500	0.6575167629
501	0.6574285746
502	0.6573540268
503	0.6572732642
504	0.6571818379
505	0.6571233767
506	0.6570551199
507	0.6569689044
508	0.6568946205
509	0.6568302738
510	0.6567724956
511	0.6566845957
512	0.6566120397
513	0.6565225344
514	0.6564494505
515	0.6563563317
516	0.6562987223
517	0.6562244057
518	0.6561599366
519	0.6560917832
520	0.65601203
521	0.6559539362
522	0.6558867542
523	0.6557977142
524	0.6557379252
525	0.6556821661
526	0.6555977301
527	0.6555191089
528	0.65545372
529	0.6553862468
530	0.6553080665
531	0.6552158619
532	0.6551450201
533	0.655076415
534	0.6549985258
535	0.6549383368
536	0.6548586055
537	0.6547662213
538	0.6547068704
539	0.6546335117
540	0.654572501
541	0.6545086005
542	0.6544229944
543	0.6543514642
544	0.654296505
545	0.6542389881
546	0.6541372818
547	0.6540768996
548	0.6540177936
549	0.6539532809
550	0.6538625185
551	0.6537934426
552	0.6536921581
553	0.6536044187
554	0.6535375007
555	0.653474158
556	0.6534157622
557	0.6533544222
558	0.6532725875
559	0.6532074544
560	0.6531486123
561	0.6530718414
562	0.6529925998
563	0.6529233771
564	0.6528449599
565	0.6527755032
566	0.6526835517
567	0.6525962804
568	0.6525144021
569	0.6524487085
570	0.6523909385
571	0.6523133431
572	0.6522434455
573	0.6521787152
574	0.6521085455
575	0.6520228388
576	0.6519234344
577	0.6518527123
578	0.6517746517
579	0.6516903354
580	0.6516091809
581	0.6515232048
582	0.6514544337
583	0.6513624278
584	0.6512723212
585	0.6512078956
586	0.6511397558
587	0.6510571864
588	0.6509830631
589	0.6509210973
590	0.6508507153
591	0.6507646276
592	0.6506974402
593	0.65061997
594	0.6505486031
595	0.6504780089
596	0.6504017659
597	0.6503341403
598	0.650274501
599	0.6501931588
